['Cl[Cu]O[Cu]O[Cu]Cl'], 0.0
['*[O]12[Zr]345678[O]9[Zr]%10%11%12%13%141[O]15([O]8%10[Zr]58%10%15%161[O]14([O]65[Zr]456%17%181[O]13([Zr]3%19%2029([O]741)[O]1%12([O]%143[Zr]231([O]%118([O]%13%102)*)([O]5%19([O]6%203)*)([O]%15%17)[O]%16%18*)*)*)*)*'], 0.23728813559322035
['[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]19[O]%106[Zr]69%10351[O]13[O]56[Zr]6%17%18%191([O]1%13[O]%146[Zr]6%13%14%11%121[O]17[O]86[Zr]624351[O]%18%13[O]%19%146)[O]%159[O]%16%10%17', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14241[O]12[O]46[Zr]6%15%16%11%121[O]1%11[O]%126[Zr]6%17%18%191([O]17[O]86[Zr]678351[O]1%13[O]%146[Zr]324%11%121[O]%187[O]%1983)[O]9%15[O]%10%16%17'], 0.2397094430992736
['[O]123[O]45[Zr]6789%101([O]1%11[O]%126[Zr]6%13%14%15%161([O]19[O]%106[Zr]69%10%17%181[O]17[O]86[Zr]678351([O]13[O]56[Zr]624%11%121[O]1%13[O]%146[Zr]24351([O]97[O]%1082)([O]%15%17[O]%16%184)[O])[O])[O])[O]', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161([O]1%17[O]%186[Zr]6%19%20%211([O]7%13[O]8%146)([O]16[O]7%19[Zr]8%13%14%17%181[O]1%17[O]8([Zr]824671([O]9%20[O]%10%218)[O])[Zr]135%11%12%17([O]%15%13[O]%16%141)[O])[O])[O]'], 0.24213075060532688
['[Al]1O[Al]O[Al]O[Al]O[Al]O[Al]O[Al]O[Al]O1'], 0.24455205811138014
['[OH4][Cr][O]123[Cr]4([OH2])[O][Cr]3([O][Cr]2([O][Cr]1([O]4)[OH2])[OH2])[OH2]'], 0.24697336561743344
['[Ho]'], 0.2493946731234867
['[Er]'], 0.25181598062953997
['[Tm]'], 0.2542372881355932
['[Yb]'], 0.2566585956416465
['[Lu]'], 0.2590799031476998
['[Y]'], 0.26150121065375304
['[O][Zn][O]([Zn][O])([Zn][O])[Zn]', '[Zn][O]([Zn])([Zn])[Zn]'], 0.26392251815980633
['[Mg]'], 0.26634382566585957
['O1[O]2[Zr]3456789%101[Zr]1%11%12%13%14%152([O]4O3)[O]2345[Zr]5%16%17%18%19%20%21%22%23[O]%24%257%11[O]7%118%125[Zr]58%123%16%24([O]%19O%18)([O]%20O%17)[O]3%16%17%21[Zr]%18%19%20%21%24%26%27%282[O]2%2961[O]16%10%14%18[Zr]%10%1443%192([O]2%238%16%20[Zr]348%16%18%19%20%17[O]%17%23%30%225[Zr]5%22%31%32%33%34%257[O]7%25%359%13[O]9%13%155[Zr]5%15%36%37%38%2917[Zr]17%29%396%35%13([O]6%28%1035[O]%148%151[Zr]1352%18%306([O]%124%23%31[Zr]24%11%17%22%259([O]%16%32%3871)([O]%33O4)[O]%34O2)([O]%19O5)[O]%20O3)([O]%36O%39)[O]%37O%29)([O]%26O%24)[O]%27O%21'], 0.26876513317191286
